,Catalunya,Madrid,Euskadi,País Valencià,Espanya,Itàlia
20/02/2020,,,,,,3
21/02/2020,,,,,,20
22/02/2020,,,,,,62
23/02/2020,,,,,,155
24/02/2020,,,,1,2,229
25/02/2020,,,,1,6,322
26/02/2020,,,,1,13,453
27/02/2020,2,2,,8,15,655
28/02/2020,3,5,,10,32,888
29/02/2020,3,5,,15,45,1128
01/03/2020,6,10,3,15,84,1694
02/03/2020,15,29,9,15,120,2036
03/03/2020,15,34,13,15,165,2502
04/03/2020,15,70,15,16,222,3086
05/03/2020,15,70,17,19,259,3838
06/03/2020,15,174,17,19,400,4574
07/03/2020,24,202,45,24,500,5728
08/03/2020,49,202,102,24,671,7146
09/03/2020,75,469,149,29,1067,8850
10/03/2020,124,782,195,42,1682,9696
11/03/2020,154,1022,225,44,2262,11807
12/03/2020,257,1383,346,59,2245,11574
13/03/2020,313,1985,417,91,5187,16532
14/03/2020,709,2930,518,111,6307,19463
15/03/2020,888,3515,621,214,7678,22711
16/03/2020,1379,4837,752,266,9777,25478
17/03/2020,1851,5567,958,288,11526,28420
18/03/2020,2687,6707,1173,358,13651,31875
19/03/2020,3255,6991,1448,503,17563,36461
20/03/2020,4179,8719,1680,603,19910,41293
21/03/2020,4655,9500,1995,734,24703,46432
22/03/2020,,,,881,,
