Data,Catalunya,Madrid,Euskadi,País Valencià,ESPANYA,ITÀLIA
20/02/2020,,,,,,3
21/02/2020,,,,,,20
22/02/2020,,,,,,62
23/02/2020,,,,,,155
24/02/2020,,,,1,2,229
25/02/2020,,,,1,6,322
26/02/2020,,,,1,13,453
27/02/2020,2,2,,8,15,655
28/02/2020,3,5,,10,32,888
29/02/2020,3,5,,15,45,1128
01/03/2020,6,10,3,15,84,1694
02/03/2020,15,29,9,15,120,2036
03/03/2020,15,34,13,15,165,2502
04/03/2020,15,70,15,16,222,3089
05/03/2020,15,70,17,19,259,3858
06/03/2020,15,174,17,19,400,4636
07/03/2020,24,202,45,24,500,5883
08/03/2020,49,202,102,25,673,7375
09/03/2020,75,469,149,30,1073,9172
10/03/2020,124,782,195,43,1695,10149
11/03/2020,156,1024,225,52,2277,12462
12/03/2020,260,1388,346,69,2277,12462
13/03/2020,316,1990,417,106,5232,17660
14/03/2020,715,2940,521,126,6391,21157
15/03/2020,903,3544,630,229,7798,24747
16/03/2020,1394,4871,765,281,9942,27980
17/03/2020,1866,5637,973,304,11748,31506
18/03/2020,2702,6777,1190,377,13910,35713
19/03/2020,3270,7165,1465,522,17963,41035
20/03/2020,4203,8921,1725,627,20410,47021
21/03/2020,4704,9702,2097,758,25374,53578
22/03/2020,,,,910,,
