,Catalunya,Madrid,Euskadi,País Valencià,Espanya,Itàlia
Població,7.619.494,6.663.394,2.207.776,5.003.769,47.100.396,"60.317.000,00"
20/02/2020,"0,00","0,00","0,00","0,00","0,00","0,00"
21/02/2020,"0,00","0,00","0,00","0,00","0,00","0,02"
22/02/2020,"0,00","0,00","0,00","0,00","0,00","0,03"
23/02/2020,"0,00","0,00","0,00","0,00","0,00","0,05"
24/02/2020,"0,00","0,00","0,00","0,20","0,00","0,12"
25/02/2020,"0,00","0,00","0,00","0,20","0,00","0,17"
26/02/2020,"0,00","0,00","0,00","0,20","0,00","0,20"
27/02/2020,"0,00","0,00","0,00","0,20","0,00","0,28"
28/02/2020,"0,00","0,00","0,00","0,20","0,00","0,35"
29/02/2020,"0,00","0,00","0,00","0,20","0,00","0,48"
01/03/2020,"0,00","0,00","0,00","0,20","0,00","0,56"
02/03/2020,"0,00","0,00","0,00","0,20","0,00","0,86"
03/03/2020,"0,00","0,00","0,00","0,20","0,02","1,31"
04/03/2020,"0,00","0,00","0,00","0,20","0,04","1,77"
05/03/2020,"0,00","0,00","0,00","0,20","0,06","2,45"
06/03/2020,"0,00","0,00","0,00","0,20","0,11","3,25"
07/03/2020,"0,00","0,00","0,00","0,20","0,21","3,83"
08/03/2020,"0,00","0,00","0,00","0,20","0,36","6,02"
09/03/2020,"0,13","1,20","2,26","0,00","0,59","7,56"
10/03/2020,"0,39","3,15","2,72","0,00","0,74","10,30"
11/03/2020,"0,39","4,65","2,72","0,00","1,15","13,51"
12/03/2020,"0,52","8,40","4,98","0,00","1,17","13,43"
13/03/2020,"0,52","12,16","6,34","0,40","2,82","20,64"
14/03/2020,"0,79","12,91","6,34","0,40","4,14","23,41"
15/03/2020,"1,05","31,97","10,42","0,60","6,14","29,43"
16/03/2020,"2,36","53,28","16,31","2,40","7,26","34,92"
17/03/2020,"5,38","58,53","18,12","2,40","11,30","40,19"
18/03/2020,"7,22","74,74","24,01","4,20","13,18","47,60"
19/03/2020,"10,76","94,25","32,16","4,60","17,56","54,00"
20/03/2020,"16,01","120,66","38,50","6,40","22,04","63,60"
21/03/2020,"25,07","153,23","43,94","9,79","28,98","76,16"
22/03/2020,,,,"13,59",,
