,Catalunya,Madrid,Euskadi,País Valencià,Espanya,Itàlia
20/02/2020,,,,,,0
21/02/2020,,,,,,1
22/02/2020,,,,,,2
23/02/2020,,,,,,3
24/02/2020,,,,1,0,7
25/02/2020,,,,1,0,10
26/02/2020,,,,1,0,12
27/02/2020,,,,1,0,17
28/02/2020,,,,1,0,21
29/02/2020,,,,1,0,29
01/03/2020,,,,1,0,34
02/03/2020,,,,1,0,52
03/03/2020,,,,1,1,79
04/03/2020,,,,1,2,107
05/03/2020,,,,1,3,148
06/03/2020,,,,1,5,197
07/03/2020,,,,1,10,233
08/03/2020,,,,1,17,366
09/03/2020,1,8,5,1,28,463
10/03/2020,3,21,6,1,35,631
11/03/2020,3,31,6,1,54,827
12/03/2020,4,56,11,1,55,827
13/03/2020,4,81,14,3,133,1266
14/03/2020,6,86,14,3,195,1441
15/03/2020,8,213,23,4,289,1809
16/03/2020,18,355,36,13,342,2158
17/03/2020,41,390,40,13,533,2503
18/03/2020,55,498,53,22,623,2978
19/03/2020,82,628,71,24,830,3405
20/03/2020,122,804,85,33,1043,4032
21/03/2020,191,1021,97,50,1375,4825
22/03/2020,,,,69,,
23/03/2020,,,,,,
24/03/2020,,,,,,
25/03/2020,,,,,,
26/03/2020,,,,,,
27/03/2020,,,,,,
28/03/2020,,,,,,
29/03/2020,,,,,,
30/03/2020,,,,,,
31/03/2020,,,,,,
01/04/2020,,,,,,
02/04/2020,,,,,,
03/04/2020,,,,,,
04/04/2020,,,,,,
