CCAA,Catalunya,Madrid,Euskadi,País Valencià,ESPANYA,ITÀLIA
Población,7.619.494,6.663.394,2.207.776,5.003.769,47.100.396,60.317.000
20/02/2020,"0,00","0,00","0,00","0,00","0,00","0,00"
21/02/2020,"0,00","0,00","0,00","0,00","0,00","0,03"
22/02/2020,"0,00","0,00","0,00","0,00","0,00","0,10"
23/02/2020,"0,00","0,00","0,00","0,00","0,00","0,26"
24/02/2020,"0,00","0,00","0,00","0,02","0,00","0,38"
25/02/2020,"0,00","0,00","0,00","0,04","0,01","0,53"
26/02/2020,"0,00","0,00","0,00","0,04","0,03","0,75"
27/02/2020,"0,03","0,03","0,00","0,18","0,03","1,09"
28/02/2020,"0,04","0,08","0,00","0,22","0,07","1,47"
29/02/2020,"0,04","0,08","0,00","0,32","0,10","1,87"
01/03/2020,"0,08","0,15","0,14","0,32","0,18","2,81"
02/03/2020,"0,20","0,44","0,41","0,32","0,25","3,38"
03/03/2020,"0,20","0,51","0,59","0,32","0,35","4,15"
04/03/2020,"0,20","1,05","0,68","0,40","0,47","5,12"
05/03/2020,"0,20","1,05","0,77","0,56","0,55","6,36"
06/03/2020,"0,20","2,61","0,77","0,58","0,85","7,58"
07/03/2020,"0,31","3,03","2,04","0,74","1,06","9,50"
08/03/2020,"0,64","3,03","4,62","0,82","1,42","11,85"
09/03/2020,"0,98","7,04","6,75","0,96","2,27","14,67"
10/03/2020,"1,63","11,74","8,83","1,26","3,57","16,08"
11/03/2020,"2,02","15,34","10,19","1,34","4,80","19,57"
12/03/2020,"3,37","20,76","15,67","1,78","4,77","19,19"
13/03/2020,"4,11","29,79","18,89","2,72","11,01","27,41"
14/03/2020,"9,31","43,97","23,46","3,52","13,39","32,27"
15/03/2020,"11,65","52,75","28,13","7,81","16,30","37,65"
16/03/2020,"18,10","72,59","34,06","9,95","20,76","42,24"
17/03/2020,"24,29","83,55","43,39","10,41","24,47","47,12"
18/03/2020,"35,26","100,65","53,13","13,95","28,98","52,85"
19/03/2020,"42,72","104,92","65,59","17,83","37,29","60,45"
20/03/2020,"54,85","130,85","76,09","21,34","42,27","68,46"
21/03/2020,"61,09","142,57","90,36","26,42","52,45","76,98"
22/03/2020,"76,78","151,66","102,91","31,10","69,52","83,37"
23/03/2020,,,,"36,73",,
