Data,Catalunya,Madrid,Euskadi,País Valencià,ESPANYA,ITÀLIA,
Thu Feb 20 2020 00:00:00 GMT+0100 (Central European Standard Time),,,,,,3,
Fri Feb 21 2020 00:00:00 GMT+0100 (Central European Standard Time),,,,,,20,
Sat Feb 22 2020 00:00:00 GMT+0100 (Central European Standard Time),,,,,,62,
Sun Feb 23 2020 00:00:00 GMT+0100 (Central European Standard Time),,,,,,155,
Mon Feb 24 2020 00:00:00 GMT+0100 (Central European Standard Time),,,,1,2,229,
Tue Feb 25 2020 00:00:00 GMT+0100 (Central European Standard Time),,,,2,6,322,
Wed Feb 26 2020 00:00:00 GMT+0100 (Central European Standard Time),,,,2,13,453,
Thu Feb 27 2020 00:00:00 GMT+0100 (Central European Standard Time),2,2,,9,15,655,
Fri Feb 28 2020 00:00:00 GMT+0100 (Central European Standard Time),3,5,,11,32,888,
Sat Feb 29 2020 00:00:00 GMT+0100 (Central European Standard Time),3,5,,16,45,1128,
Sun Mar 01 2020 00:00:00 GMT+0100 (Central European Standard Time),6,10,3,16,84,1694,
Mon Mar 02 2020 00:00:00 GMT+0100 (Central European Standard Time),15,29,9,16,120,2036,
Tue Mar 03 2020 00:00:00 GMT+0100 (Central European Standard Time),15,34,13,16,165,2502,
Wed Mar 04 2020 00:00:00 GMT+0100 (Central European Standard Time),15,70,15,20,222,3089,
Thu Mar 05 2020 00:00:00 GMT+0100 (Central European Standard Time),15,70,17,28,259,3858,
Fri Mar 06 2020 00:00:00 GMT+0100 (Central European Standard Time),15,174,17,29,400,4636,
Sat Mar 07 2020 00:00:00 GMT+0100 (Central European Standard Time),24,202,45,37,500,5883,
Sun Mar 08 2020 00:00:00 GMT+0100 (Central European Standard Time),49,202,102,42,673,7375,
Mon Mar 09 2020 00:00:00 GMT+0100 (Central European Standard Time),75,469,149,50,1073,9172,
Tue Mar 10 2020 00:00:00 GMT+0100 (Central European Standard Time),124,782,195,65,1695,10149,
Wed Mar 11 2020 00:00:00 GMT+0100 (Central European Standard Time),156,1024,225,76,2277,12462,
Thu Mar 12 2020 00:00:00 GMT+0100 (Central European Standard Time),260,1388,346,100,2277,12462,
Fri Mar 13 2020 00:00:00 GMT+0100 (Central European Standard Time),316,1990,417,152,5232,17660,
Sat Mar 14 2020 00:00:00 GMT+0100 (Central European Standard Time),715,2940,521,192,6391,21157,
Sun Mar 15 2020 00:00:00 GMT+0100 (Central European Standard Time),903,3544,630,407,7798,24747,
Mon Mar 16 2020 00:00:00 GMT+0100 (Central European Standard Time),1394,4871,765,514,9942,27980,
Tue Mar 17 2020 00:00:00 GMT+0100 (Central European Standard Time),1866,5637,973,541,11748,31506,
Wed Mar 18 2020 00:00:00 GMT+0100 (Central European Standard Time),2702,6777,1190,726,13910,35713,
Thu Mar 19 2020 00:00:00 GMT+0100 (Central European Standard Time),3270,7165,1465,921,17963,41035,
Fri Mar 20 2020 00:00:00 GMT+0100 (Central European Standard Time),4203,8921,1725,1105,20410,47021,
Sat Mar 21 2020 00:00:00 GMT+0100 (Central European Standard Time),4704,9702,2097,1363,25374,53578,
Sun Mar 22 2020 00:00:00 GMT+0100 (Central European Standard Time),5925,10575,2421,1604,33809,59138,
Mon Mar 23 2020 00:00:00 GMT+0100 (Central European Standard Time),7864,12352,2728,1901,39673,63927,
Tue Mar 24 2020 00:00:00 GMT+0100 (Central European Standard Time),9937,14597,3271,2167,47610,69176,
Wed Mar 25 2020 00:00:00 GMT+0100 (Central European Standard Time),11592,17166,3946,2616,56188,74386,
Thu Mar 26 2020 00:00:00 GMT+0100 (Central European Standard Time),12940,19243,4601,3200,64059,80589,
Fri Mar 27 2020 00:00:00 GMT+0100 (Central European Standard Time),,,,3532,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
