Dies,Catalunya,Madrid,Euskadi,País Valencià,Espanya,Itàlia
1,0.7874538650466816,1.2005893693214,2.26472250808053,2.5980415962447507,0.10615622000290613,0.11605351725052639
2,1.0499384867289088,3.1515470944686745,2.717667009696636,2.5980415962447507,0.21231244000581226,0.1657907389293234
3,2.3623615951400447,4.652283806120424,2.717667009696636,4.3966857782603475,0.36093114800988085,0.1989488867151881
4,5.380934744485658,8.4041255852498,4.982389517777166,4.796384485374925,0.5944748320162743,0.28184425617984976
5,7.218327096261248,12.155967364379174,6.341223022625484,6.595028667390522,0.743093540020343,0.3481605517515792
6,10.761869488971316,12.906335720205048,6.341223022625484,9.992467677864425,1.1464871760313862,0.48079314289503794
7,16.01156192261586,31.96569195818227,10.417723537170438,13.789605395452908,1.1677184200319675,0.5636885123596995
8,25.067281370652697,53.27615326363712,16.306002058179814,18.785839234385122,2.823755452077303,0.8621118424324817
9,32.15436615607283,58.52873175441824,18.11778006464424,,4.140092580113339,1.309746837541655
10,44.49114337513751,74.73668824025714,24.00605858565362,,6.135829516167975,1.7739609065437605
11,,94.24626549172989,32.15905961474352,,7.26108544819878,2.453702936153986
12,,120.65923161680068,38.50028263736901,,11.316253052309794,3.266077556907671
13,,153.22521825964364,43.93561665676228,,13.227065012362104,3.862924217053235
14,,189.543046681616,54.353340193932716,,17.62193252048242,6.067941044813237
15,,230.3630852385436,60.24161871494209,,22.144187492606218,7.676111212427673
16,,,,,29.192960500799188,10.461395626440307
17,,,,,46.32657440926823,13.710894109455046
18,,,,,57.23943382556699,13.710894109455046
19,,,,,,20.989107548452345
20,,,,,,23.890445479715503
21,,,,,,29.991544672314603
22,,,,,,35.77764146094799
23,,,,,,41.497421954009646
24,,,,,,49.37248205315251
25,,,,,,56.45174660543462
26,,,,,,66.8468259363032
27,,,,,,79.99403153339854
28,,,,,,90.7870086376975
29,,,,,,100.75103204734984
30,,,,,,
31,,,,,,
32,,,,,,
