,Catalunya,Madrid,Euskadi,País Valencià,Espanya,Itàlia
1,6,8,5,13,5,7
2,8,21,6,13,10,10
3,18,31,6,22,17,12
4,41,56,11,24,28,17
5,55,81,14,33,35,21
6,82,86,14,50,54,29
7,122,213,23,69,55,34
8,191,355,36,94,133,52
9,245,390,40,,195,79
10,339,498,53,,289,107
11,,628,71,,342,148
12,,804,85,,533,197
13,,1021,97,,623,233
14,,1263,120,,830,366
15,,1535,133,,1043,463
16,,,,,1375,631
17,,,,,2182,827
18,,,,,2696,827
19,,,,,,1266
20,,,,,,1441
21,,,,,,1809
22,,,,,,2158
23,,,,,,2503
24,,,,,,2978
25,,,,,,3405
26,,,,,,4032
27,,,,,,4825
,,,,,,5476
29,,,,,,6077
30,,,,,,
31,,,,,,
32,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
