,Catalunya,Madrid,Euskadi,País Valencià,Espanya,Itàlia
Thu Feb 20 2020 00:00:00 GMT+0100 (Central European Standard Time),,,,,,0
Fri Feb 21 2020 00:00:00 GMT+0100 (Central European Standard Time),,,,,,1
Sat Feb 22 2020 00:00:00 GMT+0100 (Central European Standard Time),,,,,,2
Sun Feb 23 2020 00:00:00 GMT+0100 (Central European Standard Time),,,,,,3
Mon Feb 24 2020 00:00:00 GMT+0100 (Central European Standard Time),,,,1,0,7
Tue Feb 25 2020 00:00:00 GMT+0100 (Central European Standard Time),,,,1,0,10
Wed Feb 26 2020 00:00:00 GMT+0100 (Central European Standard Time),,,,1,0,12
Thu Feb 27 2020 00:00:00 GMT+0100 (Central European Standard Time),,,,1,0,17
Fri Feb 28 2020 00:00:00 GMT+0100 (Central European Standard Time),,,,1,0,21
Sat Feb 29 2020 00:00:00 GMT+0100 (Central European Standard Time),,,,1,0,29
Sun Mar 01 2020 00:00:00 GMT+0100 (Central European Standard Time),,,,1,0,34
Mon Mar 02 2020 00:00:00 GMT+0100 (Central European Standard Time),,,,1,0,52
Tue Mar 03 2020 00:00:00 GMT+0100 (Central European Standard Time),,,,1,1,79
Wed Mar 04 2020 00:00:00 GMT+0100 (Central European Standard Time),,,,1,2,107
Thu Mar 05 2020 00:00:00 GMT+0100 (Central European Standard Time),,,,1,3,148
Fri Mar 06 2020 00:00:00 GMT+0100 (Central European Standard Time),,,,1,5,197
Sat Mar 07 2020 00:00:00 GMT+0100 (Central European Standard Time),,,,1,10,233
Sun Mar 08 2020 00:00:00 GMT+0100 (Central European Standard Time),,,,1,17,366
Mon Mar 09 2020 00:00:00 GMT+0100 (Central European Standard Time),1,8,5,1,28,463
Tue Mar 10 2020 00:00:00 GMT+0100 (Central European Standard Time),3,21,6,1,35,631
Wed Mar 11 2020 00:00:00 GMT+0100 (Central European Standard Time),3,31,6,1,54,827
Thu Mar 12 2020 00:00:00 GMT+0100 (Central European Standard Time),4,56,11,1,55,827
Fri Mar 13 2020 00:00:00 GMT+0100 (Central European Standard Time),4,81,14,3,133,1266
Sat Mar 14 2020 00:00:00 GMT+0100 (Central European Standard Time),6,86,14,3,195,1441
Sun Mar 15 2020 00:00:00 GMT+0100 (Central European Standard Time),8,213,23,4,289,1809
Mon Mar 16 2020 00:00:00 GMT+0100 (Central European Standard Time),18,355,36,13,342,2158
Tue Mar 17 2020 00:00:00 GMT+0100 (Central European Standard Time),41,390,40,13,533,2503
Wed Mar 18 2020 00:00:00 GMT+0100 (Central European Standard Time),55,498,53,22,623,2978
Thu Mar 19 2020 00:00:00 GMT+0100 (Central European Standard Time),82,628,71,24,830,3405
Fri Mar 20 2020 00:00:00 GMT+0100 (Central European Standard Time),122,804,85,33,1043,4032
Sat Mar 21 2020 00:00:00 GMT+0100 (Central European Standard Time),191,1021,97,50,1375,4825
Sun Mar 22 2020 00:00:00 GMT+0100 (Central European Standard Time),245,1263,120,69,2182,5476
Mon Mar 23 2020 00:00:00 GMT+0100 (Central European Standard Time),339,1535,133,94,2696,6077
Tue Mar 24 2020 00:00:00 GMT+0100 (Central European Standard Time),,,,,,
Wed Mar 25 2020 00:00:00 GMT+0100 (Central European Standard Time),,,,,,
Thu Mar 26 2020 00:00:00 GMT+0100 (Central European Standard Time),,,,,,
Fri Mar 27 2020 00:00:00 GMT+0100 (Central European Standard Time),,,,,,
Sat Mar 28 2020 00:00:00 GMT+0100 (Central European Standard Time),,,,,,
Sun Mar 29 2020 00:00:00 GMT+0100 (Central European Standard Time),,,,,,
Mon Mar 30 2020 00:00:00 GMT+0200 (Central European Summer Time),,,,,,
Tue Mar 31 2020 00:00:00 GMT+0200 (Central European Summer Time),,,,,,
Wed Apr 01 2020 00:00:00 GMT+0200 (Central European Summer Time),,,,,,
Thu Apr 02 2020 00:00:00 GMT+0200 (Central European Summer Time),,,,,,
Fri Apr 03 2020 00:00:00 GMT+0200 (Central European Summer Time),,,,,,
Sat Apr 04 2020 00:00:00 GMT+0200 (Central European Summer Time),,,,,,
,,,,,,
,,,,,,
,,,,,,
