,Thu Feb 13 2020 00:00:00 GMT+0100 (Central European Standard Time),Fri Feb 14 2020 00:00:00 GMT+0100 (Central European Standard Time),Sat Feb 15 2020 00:00:00 GMT+0100 (Central European Standard Time),Sun Feb 16 2020 00:00:00 GMT+0100 (Central European Standard Time),Mon Feb 17 2020 00:00:00 GMT+0100 (Central European Standard Time),Tue Feb 18 2020 00:00:00 GMT+0100 (Central European Standard Time),Wed Feb 19 2020 00:00:00 GMT+0100 (Central European Standard Time),Thu Feb 20 2020 00:00:00 GMT+0100 (Central European Standard Time),Fri Feb 21 2020 00:00:00 GMT+0100 (Central European Standard Time),Sat Feb 22 2020 00:00:00 GMT+0100 (Central European Standard Time),Sun Feb 23 2020 00:00:00 GMT+0100 (Central European Standard Time),Mon Feb 24 2020 00:00:00 GMT+0100 (Central European Standard Time),Tue Feb 25 2020 00:00:00 GMT+0100 (Central European Standard Time),Wed Feb 26 2020 00:00:00 GMT+0100 (Central European Standard Time),Thu Feb 27 2020 00:00:00 GMT+0100 (Central European Standard Time),Fri Feb 28 2020 00:00:00 GMT+0100 (Central European Standard Time),Sat Feb 29 2020 00:00:00 GMT+0100 (Central European Standard Time),Sun Mar 01 2020 00:00:00 GMT+0100 (Central European Standard Time),Mon Mar 02 2020 00:00:00 GMT+0100 (Central European Standard Time),Tue Mar 03 2020 00:00:00 GMT+0100 (Central European Standard Time),Wed Mar 04 2020 00:00:00 GMT+0100 (Central European Standard Time),Thu Mar 05 2020 00:00:00 GMT+0100 (Central European Standard Time),Fri Mar 06 2020 00:00:00 GMT+0100 (Central European Standard Time),Sat Mar 07 2020 00:00:00 GMT+0100 (Central European Standard Time),Sun Mar 08 2020 00:00:00 GMT+0100 (Central European Standard Time),Mon Mar 09 2020 00:00:00 GMT+0100 (Central European Standard Time),Tue Mar 10 2020 00:00:00 GMT+0100 (Central European Standard Time),Wed Mar 11 2020 00:00:00 GMT+0100 (Central European Standard Time),Thu Mar 12 2020 00:00:00 GMT+0100 (Central European Standard Time),Fri Mar 13 2020 00:00:00 GMT+0100 (Central European Standard Time),Sat Mar 14 2020 00:00:00 GMT+0100 (Central European Standard Time),Sun Mar 15 2020 00:00:00 GMT+0100 (Central European Standard Time),Mon Mar 16 2020 00:00:00 GMT+0100 (Central European Standard Time),Tue Mar 17 2020 00:00:00 GMT+0100 (Central European Standard Time),Wed Mar 18 2020 00:00:00 GMT+0100 (Central European Standard Time),Thu Mar 19 2020 00:00:00 GMT+0100 (Central European Standard Time),Fri Mar 20 2020 00:00:00 GMT+0100 (Central European Standard Time),Sat Mar 21 2020 00:00:00 GMT+0100 (Central European Standard Time),Sun Mar 22 2020 00:00:00 GMT+0100 (Central European Standard Time),Mon Mar 23 2020 00:00:00 GMT+0100 (Central European Standard Time),Tue Mar 24 2020 00:00:00 GMT+0100 (Central European Standard Time),Wed Mar 25 2020 00:00:00 GMT+0100 (Central European Standard Time),Thu Mar 26 2020 00:00:00 GMT+0100 (Central European Standard Time),Fri Mar 27 2020 00:00:00 GMT+0100 (Central European Standard Time)
Domicili,,,,,,,,,,,,,,,,,,,,,,,,22,25,32,45,53,75,117,146,,,381,434,577,672,810,912,1093,1096,1355,1698,1839
Ingrés,,,,,,,,,,,,,,,,,,,,,,,,13,15,16,18,21,23,29,39,,,99,212,240,307,392,477,537,756,868,1048,1170
Ingrés UCI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,,,36,40,59,71,84,113,138,161,198,230,252
Morts,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,4,13,13,22,24,33,50,69,94,115,149,167,198
Altes,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,12,12,16,19,20,25,30,36,37,44,57,73
CASOS ACTIUS,,,,,,,,,,,,,,,,,,,,,,,,35,40,48,63,74,98,148,188,0,0,516,686,876,1050,1286,1502,1768,2013,2421,2976,3261
CASOS POSITIUS,1,1,1,1,1,1,1,1,1,1,1,1,2,2,9,11,16,16,16,16,20,28,29,37,42,50,65,76,100,152,192,5,25,541,726,921,1105,1363,1604,1901,2167,2616,3200,3532
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consistència de dades,Correcte,Correcte,Correcte,Correcte,Correcte,Correcte,Correcte,Correcte,Correcte,Correcte,Correcte,Correcte,Correcte,Correcte,Correcte,Correcte,Correcte,Correcte,Correcte,Correcte,Correcte,Correcte,Correcte,Correcte,Correcte,Correcte,Correcte,Correcte,Correcte,Correcte,Correcte,Falten: 402,Falten: 489,Correcte,Correcte,Correcte,Correcte,Correcte,Correcte,Correcte,Correcte,Correcte,Correcte,Correcte
